Epoch [325/2000], Average Loss: 0.000305, Current_LR:0.0005
Epoch [326/2000], Average Loss: 0.000311, Current_LR:0.0005
Epoch [327/2000], Average Loss: 0.000313, Current_LR:0.0005
Epoch [328/2000], Average Loss: 0.000305, Current_LR:0.0005
Epoch [329/2000], Average Loss: 0.000316, Current_LR:0.0005
Epoch [330/2000], Average Loss: 0.000306, Current_LR:0.0005
Epoch [331/2000], Average Loss: 0.000310, Current_LR:0.0005
Epoch [332/2000], Average Loss: 0.000299, Current_LR:0.0005
Epoch [333/2000], Average Loss: 0.000314, Current_LR:0.0005
Epoch [334/2000], Average Loss: 0.000304, Current_LR:0.0005
Epoch [335/2000], Average Loss: 0.000311, Current_LR:0.0005
Epoch [336/2000], Average Loss: 0.000303, Current_LR:0.0005
Epoch [337/2000], Average Loss: 0.000307, Current_LR:0.0005
Epoch [338/2000], Average Loss: 0.000306, Current_LR:0.0005
Epoch [339/2000], Average Loss: 0.000306, Current_LR:0.0005
Epoch [340/2000], Average Loss: 0.000311, Current_LR:0.0005
Epoch [341/2000], Average Loss: 0.000309, Current_LR:0.0005
Epoch [342/2000], Average Loss: 0.000298, Current_LR:0.0005
Epoch [343/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [344/2000], Average Loss: 0.000298, Current_LR:0.0005
Epoch [345/2000], Average Loss: 0.000296, Current_LR:0.0005
Epoch [346/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [347/2000], Average Loss: 0.000306, Current_LR:0.0005
Epoch [348/2000], Average Loss: 0.000302, Current_LR:0.0005
Epoch [349/2000], Average Loss: 0.000297, Current_LR:0.0005
Epoch [350/2000], Average Loss: 0.000304, Current_LR:0.0005
Epoch [351/2000], Average Loss: 0.000306, Current_LR:0.0005
Epoch [352/2000], Average Loss: 0.000297, Current_LR:0.0005
Epoch [353/2000], Average Loss: 0.000295, Current_LR:0.0005
Epoch [354/2000], Average Loss: 0.000294, Current_LR:0.0005
Epoch [355/2000], Average Loss: 0.000299, Current_LR:0.0005
Epoch [356/2000], Average Loss: 0.000304, Current_LR:0.0005
Epoch [357/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [358/2000], Average Loss: 0.000300, Current_LR:0.0005
Epoch [359/2000], Average Loss: 0.000296, Current_LR:0.0005
Epoch [360/2000], Average Loss: 0.000292, Current_LR:0.0005
Epoch [361/2000], Average Loss: 0.000298, Current_LR:0.0005
Epoch [362/2000], Average Loss: 0.000302, Current_LR:0.0005
Epoch [363/2000], Average Loss: 0.000293, Current_LR:0.0005
Epoch [364/2000], Average Loss: 0.000295, Current_LR:0.0005
Epoch [365/2000], Average Loss: 0.000295, Current_LR:0.0005
Epoch [366/2000], Average Loss: 0.000294, Current_LR:0.0005
Epoch [367/2000], Average Loss: 0.000297, Current_LR:0.0005
Epoch [368/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [369/2000], Average Loss: 0.000296, Current_LR:0.0005
Epoch [370/2000], Average Loss: 0.000296, Current_LR:0.0005
Epoch [371/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [372/2000], Average Loss: 0.000301, Current_LR:0.0005
Epoch [373/2000], Average Loss: 0.000291, Current_LR:0.0005
Epoch [374/2000], Average Loss: 0.000292, Current_LR:0.0005
