Experiment name: EXP_2_1
Epoch [204/1000], Average Loss: 0.000341, Current_LR:0.0005
Epoch [205/1000], Average Loss: 0.000344, Current_LR:0.0005
Epoch [206/1000], Average Loss: 0.000341, Current_LR:0.0005
Epoch [207/1000], Average Loss: 0.000341, Current_LR:0.0004
Epoch [208/1000], Average Loss: 0.000348, Current_LR:0.0004
Epoch [209/1000], Average Loss: 0.000331, Current_LR:0.0004
Epoch [210/1000], Average Loss: 0.000341, Current_LR:0.0004
Epoch [211/1000], Average Loss: 0.000324, Current_LR:0.0004
Epoch [212/1000], Average Loss: 0.000340, Current_LR:0.0004
Epoch [213/1000], Average Loss: 0.000336, Current_LR:0.0004
Epoch [214/1000], Average Loss: 0.000321, Current_LR:0.0004
Epoch [215/1000], Average Loss: 0.000321, Current_LR:0.0004
Epoch [216/1000], Average Loss: 0.000329, Current_LR:0.0004
Epoch [217/1000], Average Loss: 0.000318, Current_LR:0.0004
Epoch [218/1000], Average Loss: 0.000313, Current_LR:0.0004
Epoch [219/1000], Average Loss: 0.000317, Current_LR:0.0004
Epoch [220/1000], Average Loss: 0.000315, Current_LR:0.0004
Epoch [221/1000], Average Loss: 0.000318, Current_LR:0.0004
Epoch [222/1000], Average Loss: 0.000316, Current_LR:0.0004
Epoch [223/1000], Average Loss: 0.000323, Current_LR:0.0004
Epoch [224/1000], Average Loss: 0.000322, Current_LR:0.0004
Epoch [225/1000], Average Loss: 0.000306, Current_LR:0.0004
Epoch [226/1000], Average Loss: 0.000320, Current_LR:0.0004
Epoch [227/1000], Average Loss: 0.000318, Current_LR:0.0004
Epoch [228/1000], Average Loss: 0.000305, Current_LR:0.0004
Epoch [229/1000], Average Loss: 0.000325, Current_LR:0.0004
Epoch [230/1000], Average Loss: 0.000310, Current_LR:0.0004
Epoch [231/1000], Average Loss: 0.000302, Current_LR:0.0004
Epoch [232/1000], Average Loss: 0.000299, Current_LR:0.0004
Epoch [233/1000], Average Loss: 0.000298, Current_LR:0.0004
Epoch [234/1000], Average Loss: 0.000304, Current_LR:0.0004
Epoch [235/1000], Average Loss: 0.000301, Current_LR:0.0004
Epoch [236/1000], Average Loss: 0.000307, Current_LR:0.0004
Epoch [237/1000], Average Loss: 0.000304, Current_LR:0.0004
Epoch [238/1000], Average Loss: 0.000291, Current_LR:0.0004
Epoch [239/1000], Average Loss: 0.000290, Current_LR:0.0004
Epoch [240/1000], Average Loss: 0.000300, Current_LR:0.0004
Epoch [241/1000], Average Loss: 0.000294, Current_LR:0.0004
Epoch [242/1000], Average Loss: 0.000291, Current_LR:0.0004
Epoch [243/1000], Average Loss: 0.000298, Current_LR:0.0004
Epoch [244/1000], Average Loss: 0.000291, Current_LR:0.0004
Epoch [245/1000], Average Loss: 0.000302, Current_LR:0.0004
Epoch [246/1000], Average Loss: 0.000293, Current_LR:0.0004
Epoch [247/1000], Average Loss: 0.000278, Current_LR:0.0004
Epoch [248/1000], Average Loss: 0.000283, Current_LR:0.0004
Epoch [249/1000], Average Loss: 0.000302, Current_LR:0.0004
Epoch [250/1000], Average Loss: 0.000293, Current_LR:0.0004
Epoch [251/1000], Average Loss: 0.000289, Current_LR:0.0004
Epoch [252/1000], Average Loss: 0.000288, Current_LR:0.0004
Epoch [253/1000], Average Loss: 0.000281, Current_LR:0.0004
Epoch [254/1000], Average Loss: 0.000278, Current_LR:0.0004
Epoch [255/1000], Average Loss: 0.000273, Current_LR:0.0004
Epoch [256/1000], Average Loss: 0.000277, Current_LR:0.0004
Epoch [257/1000], Average Loss: 0.000284, Current_LR:0.0004
Epoch [258/1000], Average Loss: 0.000281, Current_LR:0.0004
Epoch [259/1000], Average Loss: 0.000280, Current_LR:0.0004
Epoch [260/1000], Average Loss: 0.000270, Current_LR:0.0004
Epoch [261/1000], Average Loss: 0.000275, Current_LR:0.0004
Epoch [262/1000], Average Loss: 0.000282, Current_LR:0.0004
Epoch [263/1000], Average Loss: 0.000290, Current_LR:0.0004
Epoch [264/1000], Average Loss: 0.000266, Current_LR:0.0004
Epoch [265/1000], Average Loss: 0.000278, Current_LR:0.0004
Epoch [266/1000], Average Loss: 0.000273, Current_LR:0.0004
Epoch [267/1000], Average Loss: 0.000275, Current_LR:0.0004
Epoch [268/1000], Average Loss: 0.000267, Current_LR:0.0004
Epoch [269/1000], Average Loss: 0.000270, Current_LR:0.0004
Epoch [270/1000], Average Loss: 0.000269, Current_LR:0.0004
Epoch [271/1000], Average Loss: 0.000273, Current_LR:0.0004
Epoch [272/1000], Average Loss: 0.000277, Current_LR:0.0004
Epoch [273/1000], Average Loss: 0.000277, Current_LR:0.0004
Epoch [274/1000], Average Loss: 0.000258, Current_LR:0.0004
Epoch [275/1000], Average Loss: 0.000270, Current_LR:0.0004
Epoch [276/1000], Average Loss: 0.000269, Current_LR:0.0004
Epoch [277/1000], Average Loss: 0.000266, Current_LR:0.0004
Epoch [278/1000], Average Loss: 0.000258, Current_LR:0.0004
Epoch [279/1000], Average Loss: 0.000273, Current_LR:0.0004
Epoch [280/1000], Average Loss: 0.000267, Current_LR:0.0004
Epoch [281/1000], Average Loss: 0.000260, Current_LR:0.0004
Epoch [282/1000], Average Loss: 0.000267, Current_LR:0.0004
